GID_nmbr,iso3,Country,Subnat,slope,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1007002,ARG,Argentina,Catamarca,0,9270,9992,10654,11392,11789,10737,10591,11468,13752,14857,13083,13146,19888,23571,25559,29886,26546,22801,17469,17408,20371,22681,23503,25131,25519,27254,27686,29484,29693,30053,26870,29510,30728
1007003,ARG,Argentina,Chaco,0,7090,7642,8149,8713,9042,9212,9295,9773,9439,8707,8577,7968,7214,7697,8245,8823,8047,7185,5858,6009,7206,8195,8650,9400,9683,10474,10763,11582,11774,12019,10746,11801,12288
1007004,ARG,Argentina,Chubut,0,17268,18611,19846,21220,22200,21547,23219,24041,23117,22205,24296,23719,28643,28878,30762,33349,37228,41853,44835,40658,43469,44368,42268,41652,39060,38591,36321,35879,33549,31552,28210,30981,32260
1007005,ARG,Argentina,Ciudad de Bs. As.,0,39942,43050,45905,49083,52260,51648,55817,60184,62591,62089,61914,59672,47906,48708,53036,58739,62208,66462,67764,65070,73635,79523,80141,83527,82840,86562,86175,90060,89120,88732,79332,87126,90722
1007006,ARG,Argentina,Corrientes,0,8004,8626,9199,9835,9887,9497,9347,10130,10423,9856,9455,8894,7504,7672,8316,9253,10087,11089,11632,11334,13000,14216,14494,15271,15300,16140,16212,17085,17041,17094,15283,16785,17478
1007007,ARG,Argentina,Crdoba,0,13673,14737,15714,16802,17706,16327,16953,18144,18974,17310,17172,16155,15317,16558,17984,19293,19404,19610,18830,16844,17749,17836,16712,16177,14881,14401,13253,12776,11632,10625,9499,10433,10863
1007008,ARG,Argentina,Entre Ros,0,10096,10882,11604,12407,13002,12586,12675,13445,13924,13094,12465,12065,10298,11118,11903,12815,14092,15623,16519,15594,17363,18463,18333,18839,18432,19012,18692,19302,18882,18593,16623,18256,19010
1007009,ARG,Argentina,Formosa,0,6869,7404,7895,8441,8460,8098,8012,8582,8610,8280,7888,7409,6064,6410,6944,7671,7980,8369,8370,7820,8619,9075,8924,9083,8805,8999,8768,8975,8704,8499,7599,8345,8689
1007010,ARG,Argentina,Jujuy,0,7959,8578,9147,9781,10019,9654,9503,10228,10407,9624,9173,8843,7986,8473,9075,9754,10229,10819,10917,10346,11563,12340,12297,12679,12447,12879,12702,13156,12907,12745,11395,12514,13031
1007011,ARG,Argentina,La Pampa,0,15498,16704,17812,19045,20116,19107,19407,20428,21887,19319,19050,17963,18472,19862,21167,22526,21281,19931,17405,16407,18241,19369,19207,19710,19260,19841,19483,20095,19635,19312,17266,18963,19745
1007012,ARG,Argentina,La Rioja,0,11047,11906,12696,13575,13745,12716,13001,13298,13638,13313,12505,11648,9170,9514,10199,11032,11495,12076,12100,11187,12201,12711,12369,12458,11949,12085,11652,11802,11326,10943,9784,10745,11189
