asdf_id,viirs_ntl_annual_v21_avg_masked.2012.mean,viirs_ntl_annual_v21_avg_masked.2013.mean,viirs_ntl_annual_v21_avg_masked.2014.mean,viirs_ntl_annual_v21_avg_masked.2015.mean,viirs_ntl_annual_v21_avg_masked.2016.mean,viirs_ntl_annual_v21_avg_masked.2017.mean,viirs_ntl_annual_v21_avg_masked.2018.mean,viirs_ntl_annual_v21_avg_masked.2019.mean,viirs_ntl_annual_v21_avg_masked.2020.mean,viirs_ntl_annual_v21_avg_masked.2021.mean,cru_ts_407_tmp_yearly_mean.2012.mean,cru_ts_407_tmp_yearly_mean.2013.mean,cru_ts_407_tmp_yearly_mean.2014.mean,cru_ts_407_tmp_yearly_mean.2015.mean,cru_ts_407_tmp_yearly_mean.2016.mean,cru_ts_407_tmp_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2021.mean,cru_ts_407_tmp_yearly_mean.2022.mean,oco2_v111r_xco2_yearly.2015.mean,oco2_v111r_xco2_yearly.2016.mean,oco2_v111r_xco2_yearly.2017.mean,oco2_v111r_xco2_yearly.2018.mean,oco2_v111r_xco2_yearly.2019.mean,oco2_v111r_xco2_yearly.2020.mean,oco2_v111r_xco2_yearly.2021.mean,oco2_v111r_xco2_yearly.2022.mean,oco2_v111r_xco2_yearly.2023.mean,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
30,7.873339986,7.974578061,7.986093552,7.928048185,7.568651958,7.92630431,7.919124574,7.780434905,7.824057028,7.699716776,15.01435306,15.50713899,15.1357278,15.59727227,15.95436969,15.11391711,15.90150372,15.96754777,16.04198542,15.9085098,15.84970476,399.9911194,404.1900785,407.0006396,408.6799136,412.5053039,414.3664625,417.3432059,418.9053124,419.8232463,ADM1,30,30,JPN,JPN-ADM1-47310658B53720607,JP-23,Aichi,ADM1
31,0.806504665,0.813884279,0.799626811,0.792926912,0.761122163,0.891706242,0.878461415,0.858071131,0.853709734,0.886749836,10.0679338,10.49906816,10.18248464,10.63112286,10.91880652,10.12937516,11.00031072,11.02552911,11.08679034,10.97047714,10.87500964,400.25573,404.7171096,405.5501244,409.288885,410.6378248,414.851227,416.0832692,418.8840176,419.5727464,ADM1,31,31,JPN,JPN-ADM1-47310658B50671737,JP-19,Yamanashi,ADM1
32,1.449125223,1.371144109,1.414612724,1.348942976,1.278953424,1.511823388,1.493532164,1.383328892,1.442626958,1.484492579,11.41210089,11.66399562,11.54520557,12.09600715,12.10841061,11.46025117,12.1723129,12.22975499,12.3369317,12.28807654,12.17283123,399.9004078,403.7573548,404.6893935,410.196806,413.1056649,415.3127708,417.4180161,418.410073,421.1278145,ADM1,32,32,JPN,JPN-ADM1-47310658B84772272,JP-04,Miyagi,ADM1
33,0.670369154,0.570755152,0.529925023,0.472979379,0.470847164,0.608852282,0.617323526,0.524057739,0.459982632,0.524484505,10.67751918,10.92706435,10.80367069,11.34953092,11.41497083,10.74658146,11.45079479,11.537901,11.61251234,11.56913385,11.42330691,397.5097389,401.8080902,405.9372169,408.3722694,409.0867437,412.8512604,416.9142529,417.035862,421.5132393,ADM1,33,33,JPN,JPN-ADM1-47310658B43131917,JP-06,Yamagata,ADM1
34,0.484586455,0.417393396,0.359630676,0.303464564,0.349379256,0.422727904,0.414524129,0.394440649,0.33803336,0.347867288,9.960661196,10.11414635,10.04787772,10.69569745,10.56361833,9.991465892,10.63157123,10.74202189,10.883236,10.85732521,10.77039323,401.2197562,401.7767059,404.489395,408.5012311,413.0766934,414.9376008,415.3854888,417.8719492,420.9940819,ADM1,34,34,JPN,JPN-ADM1-47310658B5007010,JP-05,Akita,ADM1
35,0.364601382,0.326928456,0.31942362,0.256975572,0.261980969,0.367437015,0.369484319,0.332069716,0.302339071,0.324440647,9.48726758,9.673092228,9.60375198,10.23926734,10.0495653,9.498579718,10.14950472,10.24904763,10.38882302,10.37798607,10.30850879,398.8667441,402.730402,406.6148198,409.7006691,411.4616808,415.6756945,416.1679811,417.691119,420.434352,ADM1,35,35,JPN,JPN-ADM1-47310658B90852515,JP-03,Iwate,ADM1
36,1.1185257,1.109238847,1.138450788,1.113903041,1.080788517,1.163996462,1.219045187,1.126791925,1.153105987,1.254176329,11.19688855,11.58417691,11.28420544,11.77759391,12.04734398,11.25175074,12.06288434,12.11688487,12.20233914,12.0682534,11.99409288,399.4877326,403.5367408,407.3533955,408.6839146,409.9678519,414.6388988,416.1122109,418.4388936,421.5976234,ADM1,36,36,JPN,JPN-ADM1-47310658B96516146,JP-16,Toyama,ADM1
37,1.884243795,1.910870253,1.890317565,1.913889252,1.823161622,2.01575701,1.956975392,2.000744209,2.001459257,2.048981683,13.53043493,14.00514342,13.65781169,14.09377195,14.43595537,13.62206966,14.4989962,14.51432692,14.56615185,14.4485445,14.35394461,400.271516,403.195608,405.4364912,408.0648561,410.0767535,415.1537906,417.0118961,419.0828551,420.4011454,ADM1,37,37,JPN,JPN-ADM1-47310658B27367060,JP-22,Shizuoka,ADM1
38,1.096728522,1.104129743,1.141449161,1.128236568,1.087182786,1.156960667,1.271060745,1.198630402,1.112728804,1.213127101,12.80642486,13.19283425,12.88831855,13.3978016,13.66637584,12.86785311,13.66406,13.72742519,13.8229453,13.67314362,13.61295491,399.1424804,404.167182,406.3180722,408.9166133,410.238269,412.2760442,415.9228508,418.7517084,421.0648872,ADM1,38,38,JPN,JPN-ADM1-47310658B79650367,JP-17,Ishikawa,ADM1
39,1.018315448,1.021705888,0.945585574,0.962932728,0.975108309,1.035684359,1.087632816,1.059576337,1.062025821,1.135249874,13.86000126,14.34473264,13.9705475,14.45208,15.00254227,14.13576038,14.6243296,14.91894955,14.89414842,14.85492328,14.84023142,400.3134437,405.4432069,406.5846645,408.5925802,412.1046524,413.6638754,415.7525707,417.6758015,421.5560759,ADM1,39,39,JPN,JPN-ADM1-47310658B18103574,JP-33,Okayama,ADM1
40,0.648017142,0.663269608,0.659629503,0.664522507,0.65973396,0.729904178,0.742565107,0.710759374,0.716220935,0.711863265,14.59523873,15.11802412,14.71671223,15.18474872,15.76700804,14.86610146,15.36035958,15.66905853,15.63791479,15.59369505,15.56260442,399.5708424,405.0120401,405.888682,407.1749715,411.5877905,413.9952246,416.6552474,419.0306516,421.2445919,ADM1,40,40,JPN,JPN-ADM1-47310658B34481077,JP-36,Tokushima,ADM1
41,0.437126817,0.43286785,0.40065843,0.376746702,0.362983991,0.413690595,0.408253364,0.399281258,0.399299647,0.409085972,14.80973426,15.38194189,14.9480395,15.36875201,16.04398929,15.14370816,15.53184277,15.8672864,15.79751968,15.82691499,15.78158608,399.209298,404.6801534,407.388658,408.7247833,411.7440515,413.5418366,416.781165,418.6981259,420.4536742,ADM1,41,41,JPN,JPN-ADM1-47310658B73977477,JP-39,Kochi,ADM1
42,0.661316679,0.711616963,0.691193767,0.708352335,0.689219289,0.76150381,0.788485835,0.763444308,0.791833948,0.815200494,14.71732962,15.29069363,14.85127455,15.25696739,15.94572365,15.06489248,15.42477799,15.76640177,15.67608645,15.74831668,15.68852335,399.8002058,404.3067872,407.6243739,408.7653778,411.940007,414.0019086,416.5268028,418.3116924,420.226326,ADM1,42,42,JPN,JPN-ADM1-47310658B71941882,JP-38,Ehime,ADM1
43,1.799887738,1.861402933,1.873542727,1.892862192,1.889923386,2.003757734,2.039712398,1.990558161,1.969445746,2.019497087,15.49565663,16.00494527,15.60005586,16.07183656,16.64785821,15.74241203,16.25510336,16.56288002,16.52665942,16.4880792,16.45950235,400.7958841,404.2497857,407.1441455,408.5740048,411.7886324,414.2598219,416.8910391,419.4741101,420.4058399,ADM1,43,43,JPN,JPN-ADM1-47310658B86253365,JP-37,Kagawa,ADM1
44,4.800158888,4.901867755,4.672596412,4.5960096,4.422708972,4.323233051,4.170201746,4.101986245,4.0240612,3.748350742,23.18983467,23.51378019,23.36436689,23.74298135,24.24141676,23.71836095,23.67526578,24.08345213,24.04842448,24.00172601,23.93841457,399.0971929,403.1804955,407.3660718,407.9401897,410.3063678,413.6482119,415.0652448,417.5581938,420.5750297,ADM1,44,44,JPN,JPN-ADM1-47310658B27398889,JP-47,Okinawa,ADM1
45,0.963709068,0.842783855,0.620682767,0.489410393,0.628228954,0.714573181,0.695004376,0.643020124,0.564286088,0.538850726,5.993440399,6.284270663,6.27190863,6.951993403,6.121043529,6.047622448,6.426942191,6.643657026,6.787457181,6.974230815,7.066437648,399.7336537,402.6540802,406.7805227,406.3527064,409.6084597,411.5883714,414.0828698,417.2167253,419.9328031,ADM1,45,45,JPN,JPN-ADM1-47310658B7274041,JP-01,Hokkaido,ADM1
46,0.768991583,0.786733429,0.75598992,0.769498376,0.795761411,0.863104111,0.899747871,0.862082694,0.911252504,0.913346413,14.91217039,15.52169559,15.1005303,15.44049342,16.10462724,15.38452422,15.60402026,16.00629682,15.82458772,16.00110008,15.89080993,401.5920428,405.0900702,408.1944009,409.6048886,411.2894731,414.0334771,413.7097195,418.4513336,420.9806986,ADM1,46,46,JPN,JPN-ADM1-47310658B40500034,JP-35,Yamaguchi,ADM1
